Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
9/14/2019,31,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,5,31,0,.,31,21
9/15/2019,39,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,5,39,0,4,31,16
9/16/2019,33,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,7,27,0,.,33,28
9/17/2019,32,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,5,32,0,.,25,20
9/18/2019,31,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,6,31,0,.,28,26
9/19/2019,39,PM2.5,Seattle-10th & Weller,53-033-0030,AQS,8,24,3,.,39,27
9/20/2019,37,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,6,21,0,.,37,26
9/21/2019,41,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AQS,6,22,0,.,41,19
9/22/2019,35,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,5,29,0,.,35,21
9/23/2019,56,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,5,30,0,.,56,25
9/24/2019,33,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,5,33,1,.,32,33
9/25/2019,81,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,6,31,0,.,81,27
9/26/2019,29,NO2,Seattle-10th & Weller,53-033-0030,AQS,7,26,0,.,26,29
9/27/2019,31,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,6,31,0,.,30,31
9/28/2019,29,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AQS,3,28,0,.,29,17
9/29/2019,33,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AQS,5,25,0,.,33,17
9/30/2019,41,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AQS,6,25,0,.,41,23
10/1/2019,57,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AQS,6,30,1,.,57,28
10/2/2019,50,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AQS,8,32,3,.,50,32
10/3/2019,33,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AQS,8,31,0,6,33,23
10/4/2019,31,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AQS,5,31,0,.,31,25
10/5/2019,33,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AQS,6,32,0,.,33,25
10/6/2019,43,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AQS,6,33,0,7,43,23
10/7/2019,37,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,6,37,0,.,28,16
10/8/2019,36,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,5,36,0,.,32,25
10/9/2019,46,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AQS,5,28,0,5,46,24
10/10/2019,54,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AQS,6,45,0,.,54,21
10/11/2019,61,PM2.5,TACOMA - L STREET,53-053-0029,AQS,10,44,0,.,61,41
10/12/2019,62,PM2.5,TACOMA - L STREET,53-053-0029,AQS,9,41,1,14,62,27
10/13/2019,59,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AQS,7,32,1,.,59,31
10/14/2019,63,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AQS,7,41,1,.,63,37
10/15/2019,64,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,8,48,1,16,64,35
10/16/2019,56,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AQS,7,23,1,.,56,35
10/17/2019,53,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AQS,3,36,0,.,53,27
10/18/2019,40,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AQS,2,33,0,6,40,28
10/19/2019,36,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,2,36,0,.,25,23
10/20/2019,41,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,2,41,0,.,33,22
10/21/2019,48,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AQS,6,24,0,13,48,29
10/22/2019,46,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AQS,5,25,0,.,46,28
10/23/2019,47,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AQS,5,15,0,.,47,26
10/24/2019,60,PM2.5,TACOMA - L STREET,53-053-0029,AQS,9,40,3,18,60,31
10/25/2019,50,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,9,33,3,.,50,25
10/26/2019,36,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,7,33,0,.,36,29
10/27/2019,60,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AQS,5,33,0,6,60,25
10/28/2019,62,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AQS,7,31,0,.,62,23
10/29/2019,66,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AQS,6,42,0,.,66,31
10/30/2019,64,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AQS,6,43,0,9,64,34
10/31/2019,84,PM2.5,TACOMA - L STREET,53-053-0029,AQS,8,39,3,.,84,35
11/1/2019,75,PM2.5,TACOMA - L STREET,53-053-0029,AQS,7,43,1,.,75,28
11/2/2019,90,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AQS,7,41,1,16,90,28
11/3/2019,93,PM2.5,TACOMA - L STREET,53-053-0029,AQS,7,35,0,.,93,23
11/4/2019,84,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AQS,6,38,0,.,84,26
11/5/2019,67,PM2.5,DARRINGTON - FIR ST (Darrington High School),53-061-0020,AQS,6,37,1,9,67,23
11/6/2019,76,PM2.5,TACOMA - L STREET,53-053-0029,AirNow,6,41,0,.,76,21
11/7/2019,82,PM2.5,TACOMA - L STREET,53-053-0029,AQS,9,43,4,.,82,33
11/8/2019,76,PM2.5,TACOMA - L STREET,53-053-0029,AQS,10,44,1,.,76,36
11/9/2019,61,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,6,43,0,.,61,18
11/10/2019,58,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,6,33,0,.,58,17
11/11/2019,57,PM2.5,TACOMA - L STREET,53-053-0029,AirNow,9,45,1,12,57,27
11/12/2019,55,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,8,41,1,.,55,29
11/13/2019,61,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,5,9,0,.,61,18
11/14/2019,72,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,9,41,3,16,72,26
11/15/2019,43,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,7,38,0,.,43,26
11/16/2019,48,PM2.5,DARRINGTON - FIR ST (Darrington High School),53-061-0020,AQS,7,42,0,.,48,22
11/17/2019,44,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,7,44,0,7,36,23
