Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
5/20/2019,37,Ozone,CARUS TRAILER/SPANGLER RD,41-005-0004,AQS,2,37,0,.,22,16
5/21/2019,36,Ozone,CARUS TRAILER/SPANGLER RD,41-005-0004,AQS,2,36,0,7,19,16
5/22/2019,36,Ozone,CARUS TRAILER/SPANGLER RD,41-005-0004,AQS,3,36,0,.,25,13
5/23/2019,34,Ozone,CARUS TRAILER/SPANGLER RD,41-005-0004,AQS,3,34,0,.,30,8
5/24/2019,36,Ozone,CARUS TRAILER/SPANGLER RD,41-005-0004,AQS,3,36,0,10,26,8
5/25/2019,29,Ozone,CARUS TRAILER/SPANGLER RD,41-005-0004,AQS,3,29,0,.,21,8
5/26/2019,33,Ozone,CARUS TRAILER/SPANGLER RD,41-005-0004,AQS,3,33,0,.,21,12
5/27/2019,29,PM2.5,Vancouver-NE 84th Ave,53-011-0024,AQS,3,27,0,9,29,6
5/28/2019,53,PM2.5,Tualatin Bradbury Court (TBC) - Near Road Site,41-067-0005,AQS,3,30,0,.,53,15
5/29/2019,41,PM2.5,CARUS TRAILER/SPANGLER RD,41-005-0004,AQS,2,39,0,.,41,7
5/30/2019,37,Ozone,CARUS TRAILER/SPANGLER RD,41-005-0004,AQS,2,37,0,9,35,7
5/31/2019,37,Ozone,CARUS TRAILER/SPANGLER RD,41-005-0004,AQS,3,37,0,.,33,10
6/1/2019,35,Ozone,CARUS TRAILER/SPANGLER RD,41-005-0004,AQS,3,35,0,.,22,10
6/2/2019,40,Ozone,CARUS TRAILER/SPANGLER RD,41-005-0004,AQS,2,40,0,11,26,12
6/3/2019,41,Ozone,CARUS TRAILER/SPANGLER RD,41-005-0004,AQS,2,41,0,.,20,11
6/4/2019,43,Ozone,CARUS TRAILER/SPANGLER RD,41-005-0004,AQS,3,43,0,.,20,19
6/5/2019,30,Ozone,CARUS TRAILER/SPANGLER RD,41-005-0004,AQS,2,30,0,10,18,15
